Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,mean_N-fHP,mean_L-fHP
CNKSR2,-0.157260279,-0.645729924,-2.45400358,0.018659626,0.04281977,-3.760415928,-0.738845935,-0.589860318
UPK3B,0.334932123,0.259379749,2.453833696,0.018667242,0.042829921,-3.760778487,0.476502978,0.129105812
MRPS33,-0.277185033,0.480846845,-2.453587285,0.018678295,0.04284795,-3.761304335,0.298256729,0.590400914
FTO,-0.19185715,0.619359798,-2.452622006,0.018721649,0.042940061,-3.763363897,0.507102499,0.686714178
PLPP5,-0.419697852,1.628942981,-2.45252149,0.018726168,0.042943084,-3.763578329,1.367158734,1.786013528
POP1,-0.1843789,0.079450611,-2.452231187,0.018739228,0.042965686,-3.764197599,-0.03174026,0.146165133
PRR4,-0.141738527,-0.716578789,-2.450481672,0.018818105,0.043139163,-3.767928505,-0.789716344,-0.672696255
ZNF362,-0.157303878,3.115683298,-2.449713649,0.018852826,0.043211374,-3.769565729,3.028247801,3.168144596
MRPL42,-0.184518683,0.573659842,-2.449558357,0.018859854,0.043220096,-3.769896725,0.458716162,0.642626051
NAA20,-0.298276159,2.063547534,-2.447404567,0.018957568,0.043436601,-3.774485833,1.864101157,2.183215361
TNFRSF18,-0.503164739,1.29601502,-2.447000611,0.018975946,0.043471284,-3.775346218,1.014258255,1.46506908
ZNF181,-0.254911068,-0.136065073,-2.446509078,0.01899833,0.043515131,-3.776392995,-0.305844113,-0.034197648
RWDD2B,-0.205555588,0.605043681,-2.445901072,0.019026052,0.043563747,-3.777687602,0.485697333,0.676651489
CRTAM,-0.430162446,1.160508758,-2.445951072,0.019023771,0.043563747,-3.777581148,0.861532097,1.339894754
ZNF32,-0.446080647,2.080402273,-2.445057711,0.019064565,0.04364448,-3.779482954,1.798564924,2.249504683
TMEM263,-0.354847529,0.599395651,-2.444042888,0.019111001,0.043743321,-3.781642716,0.369824993,0.737138045
PPIAL4F,-0.233823439,-0.748256109,-2.443734074,0.019125153,0.043768243,-3.782299809,-0.894134951,-0.660728804
CPSF2,0.117509971,1.551964761,2.443341224,0.019143169,0.043794528,-3.783135625,1.62303355,1.509323488
DDT,-0.346153271,3.699942114,-2.443375185,0.019141611,0.043794528,-3.783063375,3.506911262,3.815760626
PRADC1,-0.34555383,1.754214627,-2.442926121,0.019162222,0.043830641,-3.784018678,1.536363277,1.884925438
KLRG1,-0.587503968,2.270756257,-2.442456902,0.019183779,0.043872469,-3.785016724,1.859711092,2.517383356
BNIPL,0.303504427,0.052968381,2.440716539,0.019263931,0.044048262,-3.788717309,0.242254555,-0.060603323
OLIG1,-0.548260311,3.418227186,-2.438674695,0.019358354,0.044256622,-3.793056484,3.098778367,3.609896477
KCNH3,0.460594905,1.447074352,2.438298549,0.019375794,0.044288944,-3.793855553,1.749607843,1.265554258
TSPAN7,0.494356752,-0.203798453,2.437744979,0.019401487,0.044325011,-3.795031368,0.077908778,-0.372822792
MLLT1,0.287684987,4.266856694,2.437801653,0.019398855,0.044325011,-3.794910998,4.461569659,4.150028915
SNRPE,-0.358514748,2.350843645,-2.437886175,0.01939493,0.044325011,-3.794731478,2.117246907,2.491001688
LOXL1,0.27346842,-0.229949015,2.437470802,0.019414223,0.044346556,-3.795613665,-0.074719733,-0.323086584
ABCA7,0.323785226,3.897193724,2.435591403,0.019501734,0.044538865,-3.799603833,4.14092599,3.750954365
RBM12B,0.164381179,0.595567053,2.434877165,0.019535084,0.044603483,-3.801119649,0.697231518,0.534568374
ENDOV,-0.2127169,0.036962199,-2.434843064,0.019536678,0.044603483,-3.801192011,-0.092673571,0.114743662
PLXDC1,-0.287145892,0.041164664,-2.43447641,0.01955382,0.044635022,-3.80197002,-0.133730498,0.146101761
CRCP,0.188824668,2.946798634,2.434357985,0.01955936,0.044639111,-3.80222129,3.059103702,2.879415593
ARHGAP17,-0.265006686,2.213045122,-2.434295827,0.019562268,0.044639111,-3.802353171,2.069331082,2.299273546
CENPO,-0.174660068,0.251277915,-2.433815318,0.019584762,0.04468284,-3.803372585,0.146621309,0.314071879
COL4A1,0.088350122,-0.918878177,2.433168134,0.019615096,0.044744436,-3.804745373,-0.865180187,-0.95109697
TEAD3,0.180137518,-0.719566829,2.432659666,0.019638959,0.044791252,-3.805823731,-0.614300771,-0.782726464
MZT2A,-0.362340585,2.162088864,-2.431939725,0.01967279,0.044860785,-3.8073503,1.934865693,2.298422766
CCDC149,0.271698479,0.547571109,2.431549976,0.019691127,0.044894967,-3.808176589,0.7322445,0.436767075
IL2RA,-0.462179519,1.306379754,-2.431465178,0.019695119,0.044896437,-3.808356353,1.054653443,1.457415541
KCNK17,-0.226597017,-0.682634491,-2.431320217,0.019701945,0.044904364,-3.808663645,-0.815134211,-0.603134659
RFC1,-0.147967857,1.607840808,-2.428484086,0.019835915,0.045202027,-3.814673058,1.51631809,1.662754439
TMEM19,-0.295740725,1.418197299,-2.428383858,0.019840665,0.045205171,-3.814885334,1.249177258,1.519609323
RBM25,0.174447572,2.163172623,2.428206129,0.01984909,0.045209006,-3.815261737,2.264039583,2.102652448
PIGV,0.174075494,1.677599372,2.428252401,0.019846896,0.045209006,-3.815163741,1.778594628,1.617002219
MCM5,-0.227628444,2.623469345,-2.428100923,0.019854078,0.045212691,-3.815484539,2.502973308,2.695766967
CDC34,0.550975055,6.211716685,2.427513219,0.019881966,0.045253149,-3.816729024,6.527704673,6.022123893
OPTN,0.452240613,4.335039098,2.427515459,0.019881859,0.045253149,-3.81672428,4.597524815,4.177547667
BLVRA,-0.385110894,3.587537331,-2.427594094,0.019878126,0.045253149,-3.816557781,3.339199288,3.736540157
MVD,-0.280452136,2.032303993,-2.426392788,0.019935231,0.045366686,-3.819100966,1.867356224,2.131272655
MED25,0.362280978,4.814857874,2.424634086,0.0200191,0.04554982,-3.8228225,5.042564161,4.678234102
LY96,0.691550087,3.061565601,2.424479061,0.020026508,0.045558947,-3.823150449,3.465526873,2.819188837
MCM9,0.154677711,0.329176525,2.424332397,0.020033519,0.045567168,-3.823460696,0.431004136,0.268079958
HIRA,0.172730185,2.907533941,2.423912885,0.020053585,0.045605075,-3.824348038,3.028816084,2.834764656
ELANE,1.248949159,3.455915114,2.423169208,0.020089201,0.045662846,-3.825920771,4.229044315,2.992037593
OR2W3,1.009658741,4.09171448,2.423187118,0.020088343,0.045662846,-3.825882898,4.689950615,3.732772799
UBE2D2,-0.177442856,4.51540699,-2.423181286,0.020088622,0.045662846,-3.825895231,4.417108237,4.574386242
PKM,-0.21667329,5.922722067,-2.422856906,0.020104175,0.045689139,-3.826581123,5.794071313,5.99991252
GALNT10,0.213625143,2.243851587,2.421583389,0.02016534,0.045820381,-3.829273286,2.364141747,2.171677492
IRAK2,0.307629219,0.893331793,2.421211056,0.020183255,0.045853319,-3.830060186,1.069904058,0.787388433
SS18,-0.181687967,2.084017405,-2.421103539,0.020188431,0.045857311,-3.830287399,1.970731009,2.151989242
C1orf52,0.201926063,1.561014159,2.420725736,0.020206627,0.045890873,-3.831085743,1.676380632,1.491794275
ZMAT2,0.200967149,5.463645317,2.420097436,0.020236922,0.045951894,-3.832413215,5.580185989,5.393720913
MFSD12,-0.284474567,3.112000919,-2.419741942,0.020254081,0.045983072,-3.833164189,2.937470741,3.216719025
EXOC6B,-0.120185267,-0.156780669,-2.418635269,0.020307583,0.046096735,-3.835501499,-0.228954387,-0.113476439
DNMT3A,0.151382598,1.585860201,2.418512814,0.02031351,0.046102388,-3.835760078,1.683343362,1.527370304
