Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,mean_N-fHP,mean_L-fHP
PPP1R37,1.756112248,1.335239491,7.63046603,3.72E-08,6.35E-06,8.849873727,2.821180624,1.065068376
PTPN23,1.61717358,1.443485462,7.633550105,3.69E-08,6.35E-06,8.857112834,2.811863107,1.194689527
MORC2,1.343759166,2.368998182,7.644477243,3.59E-08,6.35E-06,8.882751079,3.506025169,2.162266003
DNAJA2,-2.496388283,2.844929428,-7.641940991,3.62E-08,6.35E-06,8.876801757,0.732600881,3.228989163
BZW1,-3.129512143,3.847005995,-7.617266707,3.84E-08,6.49E-06,8.818876807,1.198957259,4.328469402
BUD13,4.161574202,0.567120954,7.607246762,3.93E-08,6.57E-06,8.795330289,4.088452972,-0.073121231
LRPPRC,1.440830934,1.935351101,7.603576599,3.97E-08,6.57E-06,8.786702091,3.154515738,1.713684803
PRKAG1,-0.638424746,4.863951325,-7.591802841,4.08E-08,6.69E-06,8.759010676,4.323745771,4.962170517
NPFF,4.702094171,0.093598033,7.586629837,4.14E-08,6.70E-06,8.746837978,4.072293101,-0.62980107
DISP2,1.020774795,-0.306308153,7.555946373,4.46E-08,7.15E-06,8.674560958,0.557424365,-0.46335043
TUBB,3.49970389,1.992848412,7.501229679,5.09E-08,8.09E-06,8.545353941,4.954136319,1.454432429
CYB5B,-0.860762549,4.724025414,-7.493085904,5.19E-08,8.17E-06,8.52608866,3.995687872,4.856450421
TLK1,-1.394584396,1.284953666,-7.472059624,5.47E-08,8.43E-06,8.476306485,0.104920716,1.499505111
CCDC47,-2.733104111,2.774768405,-7.472967482,5.46E-08,8.43E-06,8.478457178,0.462141849,3.19524596
METAP2,-0.986725524,4.82524927,-7.460528924,5.62E-08,8.49E-06,8.448980878,3.990327673,4.977053197
NDUFAF1,-1.487829372,3.270105261,-7.457612155,5.66E-08,8.49E-06,8.442065839,2.011172716,3.499002088
ARPC4-TTLL3,-1.778899884,3.220464379,-7.463084873,5.59E-08,8.49E-06,8.455039545,1.7152414,3.494141284
C6orf106,1.966513344,2.419616541,7.439716929,5.92E-08,8.70E-06,8.399615012,4.083589371,2.117076027
GCLM,-1.833317906,1.79352567,-7.443374714,5.87E-08,8.70E-06,8.408295464,0.242256673,2.075574579
TC2N,-1.790738556,3.050877446,-7.43261801,6.02E-08,8.77E-06,8.382763125,1.53563713,3.326375686
USO1,-1.232101888,4.22352369,-7.404813277,6.45E-08,9.31E-06,8.316693325,3.180975939,4.413077827
KCTD9,-1.759363213,1.545009401,-7.400139569,6.52E-08,9.31E-06,8.305577469,0.056317451,1.815680664
ASB8,-1.966989934,2.119945411,-7.3975169,6.56E-08,9.31E-06,8.299338486,0.455569313,2.422559247
GLIPR1,-2.007694411,3.537088618,-7.382110729,6.82E-08,9.58E-06,8.262670697,1.83827027,3.845964681
ATP6V1E1,2.440698456,2.886206264,7.365549473,7.10E-08,9.60E-06,8.223218441,4.951412649,2.510714194
SNRPB2,-0.702903937,5.426431243,-7.367403058,7.07E-08,9.60E-06,8.227635871,4.831666373,5.53457031
LZTFL1,-1.797659433,1.427005588,-7.363583293,7.13E-08,9.60E-06,8.218532181,-0.094090856,1.703568577
LYPLA1,-1.848502434,3.219530719,-7.369888463,7.02E-08,9.60E-06,8.233558321,1.655413275,3.503915709
C3orf38,-2.266250517,2.048733228,-7.374867709,6.94E-08,9.60E-06,8.245420853,0.131136637,2.397387154
BMI1,-2.460620808,2.55015434,-7.358627762,7.22E-08,9.64E-06,8.206718718,0.468090579,2.928711387
EHF,-2.536969066,3.226858067,-7.348348046,7.41E-08,9.80E-06,8.182202558,1.080191934,3.617161
