Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,mean_N-fHP,mean_L-fHP
DAB2,2.6400505,5.789271333,6.994247693,4.64E-05,0.003090789,2.503949474,6.669288167,4.029237667
ZDHHC19,3.5042446,2.1862138,6.952502407,4.87E-05,0.003140929,2.456238413,3.354295333,-0.149949267
ALDH2,2.935368,6.238942333,6.960354967,4.83E-05,0.003140929,2.465231406,7.217398333,4.282030333
MARVELD1,2.785615667,4.506999444,6.957870011,4.84E-05,0.003140929,2.462386473,5.435538,2.649922333
MSR1,2.535137833,6.313757556,6.955515935,4.85E-05,0.003140929,2.459690597,7.1588035,4.623665667
CAT,1.302184167,7.206073111,6.96201467,4.82E-05,0.003140929,2.467131066,7.6401345,6.337950333
KLKB1,-1.07527215,1.5087079,-6.965399735,4.80E-05,0.003140929,2.471004367,1.15028385,2.225556
DBH,-1.40755225,-0.318221367,-6.953430941,4.87E-05,0.003140929,2.45730224,-0.78740545,0.6201468
FOXO1,-1.313872167,6.187965222,-6.93837937,4.95E-05,0.003178705,2.440042967,5.750007833,7.06388
RBP4,4.4846535,6.339603333,6.888339464,5.25E-05,0.00319187,2.382439188,7.834487833,3.349834333
SPOCD1,3.802067241,2.81050387,6.894071108,5.22E-05,0.00319187,2.389054733,4.077859617,0.275792376
MS4A7,2.739566,7.174511,6.890570464,5.24E-05,0.00319187,2.385014779,8.087699667,5.348133667
CD300LF,2.673377167,6.291794444,6.895274267,5.21E-05,0.00319187,2.390442859,7.182920167,4.509543
CDCP1,2.593992833,4.474921222,6.874860275,5.34E-05,0.00319187,2.366863408,5.3395855,2.745592667
TRPV4,2.088148333,3.456869222,6.885490789,5.27E-05,0.00319187,2.379149518,4.152918667,2.064770333
HYAL2,2.073825667,3.454012444,6.892777426,5.22E-05,0.00319187,2.387561943,4.145287667,2.071462
TRIP6,2.023794833,5.313528889,6.881211559,5.30E-05,0.00319187,2.374205722,5.988127167,3.964332333
OCRL,2.005519667,2.764889111,6.917140464,5.08E-05,0.00319187,2.415635826,3.433395667,1.427876
AHCY,1.436070333,5.390354889,6.898197599,5.19E-05,0.00319187,2.393814776,5.869045,4.432974667
CXorf21,1.404921667,5.293406778,6.87725573,5.32E-05,0.00319187,2.369633296,5.761714,4.356792333
LACTB2,1.3794205,5.941061,6.882216425,5.29E-05,0.00319187,2.375366871,6.400867833,5.021447333
MRPL17,1.352205667,6.543557778,6.878445854,5.31E-05,0.00319187,2.371009152,6.994293,5.642087333
HEXA,1.057872333,5.799131222,6.905665821,5.15E-05,0.00319187,2.402423635,6.151755333,5.093883
RADIL,-1.29744195,-0.0082303,-6.909565263,5.12E-05,0.00319187,2.406915587,-0.44071095,0.856731
E2F5,-1.414033433,1.498767378,-6.930789644,5.00E-05,0.00319187,2.431328203,1.0274229,2.441456333
OR6N1,3.500033167,2.136290111,6.863798077,5.41E-05,0.003192213,2.354061764,3.302967833,-0.197065333
ANO5,2.9819175,4.097568,6.840433745,5.56E-05,0.003192213,2.326967769,5.0915405,2.109623
SIGLEC7,2.741069333,5.437872222,6.832616705,5.61E-05,0.003192213,2.317885954,6.351562,3.610492667
