Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,mean_N-fHP,mean_L-fHP
TRIQK,1.110747465,4.115032831,14.01809972,1.81E-27,3.02E-25,51.90438691,4.887098788,3.781640713
CDC25B,-1.243979548,6.954550801,-14.01425571,1.85E-27,3.04E-25,51.88347138,6.086986185,7.329180977
TANC2,1.004191181,4.160738052,14.01155706,1.88E-27,3.05E-25,51.86878697,4.858316895,3.859510825
SRSF2,-0.627617305,7.280279564,-14.00814791,1.92E-27,3.07E-25,51.85023558,6.838035014,7.471248801
NUP210,-0.965782297,7.280611555,-13.97773866,2.27E-27,3.59E-25,51.68471202,6.604373685,7.572623362
IL1R1,1.879019371,5.445568527,13.94841697,2.66E-27,3.98E-25,51.52502883,6.757065718,4.879240194
ASPH,1.809980967,4.813094499,13.95445973,2.57E-27,3.98E-25,51.55794345,6.070338391,4.270193727
KIF27,1.670664461,5.344385776,13.95012854,2.64E-27,3.98E-25,51.53435203,6.507450311,4.842153363
PABPC4,-0.603763325,5.880547596,-13.95019836,2.64E-27,3.98E-25,51.53473232,5.458738051,6.062692626
IL27RA,-0.755626647,6.428141194,-13.95518694,2.56E-27,3.98E-25,51.56190435,5.901592395,6.655514539
KLHL8,1.170721765,5.298540431,13.93978366,2.79E-27,4.12E-25,51.47799784,6.114600169,4.946150998
GOSR2,-0.654567663,6.246208841,-13.93819028,2.82E-27,4.12E-25,51.46931697,5.790716006,6.442898928
STARD7,-0.605643547,6.484322457,-13.90497349,3.38E-27,4.90E-25,51.28829739,6.057708129,6.66854228
TMLHE,0.755761293,5.219541426,13.88271722,3.82E-27,5.48E-25,51.16695353,5.745469336,4.992436192
G3BP1,-0.564359636,6.122058294,-13.8595179,4.34E-27,6.16E-25,51.04042126,5.726282384,6.292961529
RPS4X,-1.091025192,8.685816118,-13.84188655,4.79E-27,6.72E-25,50.94422564,7.945357027,9.005559816
EVL,-1.206258591,7.397088686,-13.83006157,5.11E-27,7.10E-25,50.87969394,6.556048939,7.76026494
MTARC1,1.559701628,5.204446263,13.82306635,5.31E-27,7.30E-25,50.84151358,6.292555856,4.734580757
EIF2S3,-0.564207187,8.111051779,-13.80042022,6.02E-27,8.19E-25,50.71788015,7.727609568,8.276629098
ZNF230,0.976748463,4.139402578,13.78951515,6.39E-27,8.54E-25,50.6583295,4.823976316,3.843791191
MTA2,-0.648350762,6.64040552,-13.78925928,6.40E-27,8.54E-25,50.65693212,6.185799722,6.836712569
IGSF8,-0.741126786,5.299991764,-13.77519004,6.92E-27,9.13E-25,50.58008689,4.784521286,5.522581289
EZR,-0.896835614,7.357945862,-13.76062318,7.49E-27,9.80E-25,50.50050562,6.731181074,7.628594293
TMED8,0.915551425,5.552802618,13.74608271,8.12E-27,1.05E-24,50.42105025,6.193928284,5.275952898
EIF3K,-0.561603073,7.003612795,-13.74403302,8.21E-27,1.05E-24,50.40984842,6.610531986,7.173352235
SLMAP,0.511080744,5.726638343,13.72626803,9.06E-27,1.15E-24,50.31274512,6.0829117,5.572793029
CCDC134,-0.912337103,7.235906273,-13.7246029,9.14E-27,1.15E-24,50.30364212,6.599107448,7.510887584
ETS1,-1.14155656,8.075334869,-13.72028035,9.36E-27,1.17E-24,50.2800104,7.279529776,8.418977977
NEDD9,0.877154677,7.152415879,13.71687784,9.54E-27,1.18E-24,50.2614075,7.766730469,6.88714367
TTC39C,-0.905194279,5.588694631,-13.70925565,9.95E-27,1.22E-24,50.21973027,4.957617794,5.861205083
RRAGC,0.760288623,3.996129513,13.70001133,1.05E-26,1.26E-24,50.16917674,4.525361412,3.767597556
ANXA6,-0.945733011,7.569861567,-13.70126742,1.04E-26,1.26E-24,50.17604624,6.908609649,7.855402168
DYRK2,-0.942949414,6.056449923,-13.64203084,1.44E-26,1.72E-24,49.8519396,5.399880226,6.339968655
ESYT2,-0.706118832,6.688064996,-13.63923624,1.47E-26,1.73E-24,49.83664191,6.194303893,6.901280018
DPY19L3,0.914256036,4.687910522,13.6243758,1.59E-26,1.86E-24,49.75528485,5.323370121,4.413507514
GPSM2,1.112332378,3.54817467,13.60732179,1.75E-26,2.03E-24,49.66189584,4.326153787,3.212229143
KLLN,1.361819706,2.612577197,13.60498992,1.77E-26,2.04E-24,49.64912444,3.56432826,2.201593784
TCF7,-1.594423859,6.870722287,-13.60241465,1.80E-26,2.05E-24,49.6350195,5.769158013,7.346397769
GIMAP6,-0.837701589,7.51819034,-13.58929757,1.93E-26,2.19E-24,49.56316763,6.932100563,7.771274562
BCL11B,-1.221348492,6.723860336,-13.57934296,2.04E-26,2.29E-24,49.50862945,5.875305834,7.090281599
