Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,mean_N-fHP,mean_L-fHP
TOR1AIP1,0.483906516,2.230336885,1.212375035,0.227695156,0.571962447,-5.712841304,2.563518421,2.079611905
HRG,-0.082459085,0.491167213,-1.211504084,0.228027368,0.5723078,-5.713865782,0.434392105,0.51685119
GAL,0.178664348,0.020798361,1.210835296,0.228282705,0.572459787,-5.714651974,0.143813158,-0.03485119
BTD,0.064968358,0.042972951,1.209917996,0.228633257,0.572850079,-5.715729613,0.087705263,0.022736905
FTCD,0.251157832,0.490666393,1.208300707,0.229252259,0.573911745,-5.717627655,0.663594737,0.412436905
HSD11B1,0.105498246,0.056143443,1.207495576,0.229560865,0.574195218,-5.718571629,0.128781579,0.023283333
SERPINA5,-0.089882456,-0.247679508,-1.205351581,0.230384114,0.57576438,-5.721082355,-0.309565789,-0.219683333
PKLR,0.273193609,3.832657377,1.204679336,0.230642679,0.575920844,-5.72186869,4.020757895,3.747564286
SOWAHA,-0.153349436,-0.385296721,-1.202708244,0.231402022,0.576890143,-5.72417184,-0.490881579,-0.337532143
DCTPP1,0.128176504,1.258013115,1.201635574,0.231816012,0.576890143,-5.72542367,1.346265789,1.218089286
FGFR2,0.073781266,0.440765574,1.202064195,0.231650525,0.576890143,-5.724923591,0.491565789,0.417784524
FMNL1,0.539179323,2.516769672,1.201840403,0.231736918,0.576890143,-5.725184714,2.888007895,2.348828571
DDX58,0.475619612,2.412142623,1.198591791,0.232993637,0.579330202,-5.728969894,2.739618421,2.26399881
CFD,-0.074767732,0.260205738,-1.19805647,0.233201193,0.579356134,-5.729592673,0.208726316,0.283494048
DAAM1,-0.253887218,2.781991803,-1.196674783,0.233737519,0.580198114,-5.731198838,2.607184211,2.861071429
MFAP3,-0.115280639,0.251089344,-1.194865361,0.234441215,0.580715603,-5.733299495,0.171715789,0.286996429
LTA4H,0.123984524,-0.802316393,1.194568928,0.234556644,0.580715603,-5.733643345,-0.71695,-0.840934524
TNFRSF1A,0.104685464,0.876868852,1.194107632,0.234736351,0.580715603,-5.734178262,0.948947368,0.844261905
SPRY2,-0.268591604,2.654595082,-1.194856551,0.234444645,0.580715603,-5.733309716,2.469663158,2.738254762
ACAN,-0.082872619,0.452009836,-1.192794931,0.23524828,0.581492595,-5.735699362,0.39495,0.477822619
TNF.1,-0.168060213,0.884118852,-1.191482053,0.235761078,0.582270427,-5.737219033,0.768405263,0.936465476
GZMH,-0.381422243,1.669447541,-1.18894755,0.236753294,0.58227442,-5.740148126,1.406828947,1.78825119
KCNH2,-0.25014292,-0.437483607,-1.18967838,0.23646688,0.58227442,-5.73930414,-0.609713158,-0.359570238
CLEC10A,-0.10871886,0.532745082,-1.190818774,0.236020452,0.58227442,-5.737986164,0.457889474,0.566608333
NPTXR,-0.109321992,0.245302459,-1.18897853,0.236741148,0.58227442,-5.740112359,0.170031579,0.279353571
PLXNB2,-0.074696241,0.447919672,-1.189486676,0.236541985,0.58227442,-5.739525575,0.396489474,0.471185714
NPPC,-0.161494674,1.219061475,-1.18729812,0.237400622,0.583378284,-5.742051079,1.107868421,1.269363095
PXDNL,-0.132597682,0.125183607,-1.186720328,0.237627679,0.583448411,-5.742717069,0.033886842,0.166484524
INHBC,0.104613283,0.595310656,1.186113645,0.237866256,0.583484823,-5.74341602,0.667339474,0.56272619
COX5B,-0.242722431,0.570459836,-1.185673188,0.238039572,0.583484823,-5.743923245,0.403339474,0.646061905
CXCL1,-0.234943233,1.664035246,-1.182564326,0.239265452,0.586000969,-5.747498143,1.502271053,1.737214286
SERPINB9,-0.119849749,1.950922131,-1.181994284,0.239490717,0.586064295,-5.748152643,1.868402632,1.988252381
BCL2,-0.270213972,1.989114754,-1.179095149,0.240638723,0.586918844,-5.751476543,1.803065789,2.073279762
RCC1,0.278479449,1.212444262,1.179178604,0.240605621,0.586918844,-5.751380972,1.404184211,1.125704762
CLEC4D,0.223943296,2.220101639,1.17999255,0.240282949,0.586918844,-5.750448512,2.374292105,2.15034881
IL1RN,0.294069361,1.150741803,1.179879003,0.240327944,0.586918844,-5.750578629,1.353215789,1.059146429
DCUN1D2,-0.210420301,0.530216393,-1.178389015,0.240918933,0.587115044,-5.752284928,0.385336842,0.595757143
APOB,0.059614223,0.146390984,1.177396922,0.24131301,0.587588183,-5.753419881,0.187436842,0.127822619
CHP1,-0.206962469,0.718130328,-1.175317233,0.242140591,0.58845134,-5.755796011,0.575631579,0.782594048
DNPEP,0.19316109,0.049932787,1.174997107,0.24226816,0.58845134,-5.756161403,0.182928947,-0.010232143
CA8,0.085737657,0.18792541,1.17507507,0.242237087,0.58845134,-5.756072424,0.246957895,0.161220238
CEACAM16,-0.202926629,-0.063922131,-1.172805391,0.243142833,0.59008818,-5.75866042,-0.203642105,-0.000715476
CFH,-0.075268734,0.361040164,-1.168738919,0.244771633,0.591112431,-5.763284971,0.309215789,0.384484524
FGF21,-0.355161404,0.356392623,-1.168794355,0.244749376,0.591112431,-5.763222033,0.111855263,0.467016667
MDGA1,-0.161641604,0.706207377,-1.16968112,0.244393552,0.591112431,-5.762214861,0.594913158,0.756554762
CTSF,-0.125879386,0.53585,-1.170647776,0.244006089,0.591112431,-5.761116099,0.449178947,0.575058333
LTO1,-0.174029574,0.368513115,-1.170695156,0.243987109,0.591112431,-5.761062221,0.248689474,0.422719048
PRDX6,0.244210902,1.804844262,1.169025877,0.24465644,0.591112431,-5.762959147,1.972989474,1.728778571
BSND,-0.069845677,0.076898361,-1.168153535,0.245006742,0.591194428,-5.763949401,0.028807895,0.098653571
CA6,-0.174531454,-0.456336066,-1.166319822,0.245744256,0.592487588,-5.766028616,-0.576505263,-0.40197381
CD14,-0.113934461,0.712259836,-1.165497515,0.246075498,0.592689189,-5.766959979,0.633813158,0.747747619
ERP29,-0.305734524,3.449005738,-1.165111252,0.246231201,0.592689189,-5.767397247,3.2385,3.544234524
